S No,State Code,StateName,District LGD Code,DistrictName,District Name (In Local language),Hierarchy,Short Name of District,Census 2001 Code,Census2011 Code,Pesa Status,View Details,View History,View Government Order,View Map
1,35,Andaman And Nicobar Islands(State),603,Nicobars,NICOBARS,Andaman And Nicobar Islands(State),NIC,2,638,Not Covered,,,,
2,35,Andaman And Nicobar Islands(State),632,North And Middle Andaman,NORTH AND MIDDLE ANDAMAN,Andaman And Nicobar Islands(State),NMA,,639,Not Covered,,,,
3,35,Andaman And Nicobar Islands(State),602,South Andamans,SOUTH ANDAMANS,Andaman And Nicobar Islands(State),SAS,1,640,Not Covered,,,,
4,28,Andhra Pradesh(State),745,Alluri Sitharama Raju,Alluri Sitharama Raju,Andhra Pradesh(State),LLR,,0,Not Covered,,,,
5,28,Andhra Pradesh(State),744,Anakapalli,Anakapalli,Andhra Pradesh(State),NKP,,0,Not Covered,,,,
6,28,Andhra Pradesh(State),502,Ananthapuramu,అనంతపురము,Andhra Pradesh(State),ANT,22,553,Not Covered,,,,
7,28,Andhra Pradesh(State),753,Annamayya,Annamayya,Andhra Pradesh(State),NNM,,0,Not Covered,,,,
8,28,Andhra Pradesh(State),750,Bapatla,Bapatla,Andhra Pradesh(State),BPT,,0,Not Covered,,,,
9,28,Andhra Pradesh(State),503,Chittoor,CHITTOOR,Andhra Pradesh(State),CHI,23,554,Not Covered,,,,
10,28,Andhra Pradesh(State),747,Dr. B.R. Ambedkar Konaseema,డా బి ఆర్  అంబేడ్కర్ కోనసీమ,Andhra Pradesh(State),KNS,,0,Not Covered,,,,
11,28,Andhra Pradesh(State),505,East Godavari,EAST GODAVARI,Andhra Pradesh(State),EGI,14,545,Not Covered,,,,
12,28,Andhra Pradesh(State),748,Eluru,Eluru,Andhra Pradesh(State),LR,,0,Not Covered,,,,
13,28,Andhra Pradesh(State),506,Guntur,GUNTUR,Andhra Pradesh(State),GNT,17,548,Not Covered,,,,
14,28,Andhra Pradesh(State),746,Kakinada,Kakinada,Andhra Pradesh(State),KKN,,0,Not Covered,,,,
15,28,Andhra Pradesh(State),510,Krishna,KRISHNA,Andhra Pradesh(State),KRS,16,547,Not Covered,,,,
16,28,Andhra Pradesh(State),511,Kurnool,KURNOOL,Andhra Pradesh(State),KUR,21,552,Not Covered,,,,
17,28,Andhra Pradesh(State),755,Nandyal,Nandyal,Andhra Pradesh(State),NND,,0,Not Covered,,,,
18,28,Andhra Pradesh(State),749,Ntr,NTR,Andhra Pradesh(State),TNR,,0,Not Covered,,,,
19,28,Andhra Pradesh(State),751,Palnadu,Palnadu,Andhra Pradesh(State),PLN,,0,Not Covered,,,,
20,28,Andhra Pradesh(State),743,Parvathipuram Manyam,Parvathipuram Manyam,Andhra Pradesh(State),PRV,,0,Not Covered,,,,
21,28,Andhra Pradesh(State),517,Prakasam,PRAKASAM,Andhra Pradesh(State),PRA,18,549,Not Covered,,,,
